IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	000000f1	
2	.text	00000048	TEXT
3	.rel.text	00000010	
4	xdp	00000048	TEXT
5	license	00000004	DATA
6	.debug_abbrev	00000092	DEBUG
7	.debug_info	000000b5	DEBUG
8	.rel.debug_info	00000050	
9	.debug_rnglists	00000017	DEBUG
10	.debug_str_offsets	00000044	DEBUG
11	.rel.debug_str_offsets	000000f0	
12	.debug_str	000000ad	DEBUG
13	.debug_addr	00000020	DEBUG
14	.rel.debug_addr	00000030	
15	.BTF	00000202	
16	.rel.BTF	00000010	
17	.BTF.ext	000000f8	
18	.rel.BTF.ext	000000c0	
19	.debug_frame	00000040	DEBUG
20	.rel.debug_frame	00000040	
21	.debug_line	00000097	DEBUG
22	.rel.debug_line	00000060	
23	.debug_line_str	0000003f	DEBUG
24	.llvm_addrsig	00000002	
25	.symtab	00000168	
