PARENT_ID	ID	KIND	NAME	ATTRS
	1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
1		PARAM	(anon)	type_id=3
	2	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
	3	PTR	(anon)	type_id=0
	4	FUNC	xdp_demo	type_id=1 linkage=global
	5	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
5		PARAM	(anon)	type_id=2
	6	FUNC	my_abs	type_id=5 linkage=static
	7	FUNC_PROTO	(anon)	ret_type_id=2 vlen=2
7		PARAM	(anon)	type_id=2
7		PARAM	(anon)	type_id=2
	8	FUNC	my_min	type_id=7 linkage=static
	9	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
	10	ARRAY	(anon)	type_id=9 index_type_id=11 nr_elems=4
	11	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
	12	VAR	_license	type_id=10, linkage=global
	13	DATASEC	license	size=0 vlen=1
13		DATASEC_ENTRY	_license	type_id=12 offset=0 size=4 (VAR )
