VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	string.c
0000000000000000	0	SECTION	LOCAL	3	xdp
0000000000000000	3	OBJECT	LOCAL	6	xdp_demo.____fmt
0000000000000003	25	OBJECT	LOCAL	6	xdp_demo.____fmt.1
0000000000000000	0	SECTION	LOCAL	5	.rodata.str1.1
0000000000000000	0	SECTION	LOCAL	6	.rodata
0000000000000000	0	SECTION	LOCAL	8	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	11	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	13	.debug_str
0000000000000000	0	SECTION	LOCAL	14	.debug_addr
0000000000000000	0	SECTION	LOCAL	20	.debug_frame
0000000000000000	0	SECTION	LOCAL	22	.debug_line
0000000000000000	0	SECTION	LOCAL	24	.debug_line_str
0000000000000000	136	FUNC	GLOBAL	3	xdp_demo
0000000000000000	4	OBJECT	GLOBAL	7	_license
